sku_code,product_name,category,quantity,quantity_share,quantity_cumulative_share,abc_quantity,order_frequency,frequency_share,frequency_cumulative_share,monthly_mean_quantity,monthly_std_quantity,demand_cv,monthly_nonzero_periods,xyz_low_sample_flag,xyz_frequency,abc_xyz_frequency,xyz_volatility,abc_xyz_volatility,fast_moving_flag,cbm_total,pcs_per_carton,pcs_per_pallet,cbm_incl_flap_m3,pcs_weight_kg,carton_weight_kg
1830007745,Bàn ủi cầm tay Tefal - DT6130E0,SDA,29.666666666666664,0.00010531121134323677,0.9920027538064741,C,28,0.0013465422718091757,0.8895354429162262,4.238095238095238,10.341778423094402,2.440194908820027,3,0,Y,CY,Z,CZ,0,1.784328,6,144,0.010621,1.666666666666667,10.0
2100131959,Nồi cán dài Tefal So Matcha 18cm,CW,29.0,0.00010294466726810787,0.9922095305950385,C,25,0.0012022698855439068,0.8944407040492455,4.142857142857143,10.52661027157004,2.540905927620354,2,0,Y,CY,Z,CZ,0,0.9605,4,160,0.0085,1.5,6.0
7211005445,"Nồi cơm điện tử Mini Tefal POP RK535AY0, màu be  - 0.7L",SDA,28.25,0.00010028230518358783,0.9927156752091066,C,40,0.001923631816870251,0.8506780802154472,4.035714285714286,10.67749636251067,2.6457513110645907,1,0,Y,CY,Z,CZ,0,2.379328,4,80,0.021056,2.75,11.0
7211003302,Bếp điện từ SDHCB11TVN-GR-210,SDA,24.5,8.697049476098769e-05,0.993823429134845,C,29,0.001394633067230932,0.8854958161007986,3.5,6.701989754294367,1.9148542155126762,2,0,Y,CY,Z,CZ,0,1.457144490666667,6,168,0.01301021866666667,2.75,16.5
4100000801,Quạt đứng - Tefal - VF3110Y1 - đen,Fan,551.0,0.0019559486780940495,0.9277129068526123,C,2,9.618159084351255e-05,0.995094738866978,78.71428571428571,208.2584246280842,2.645751311064591,1,0,Z,CZ,Z,CZ,0,27.1012105,1,30,0.0491855,4.7,4.7
2100139431,"Bộ 3 nồi chảo cán rời Tefal Ingenio Serenity L827S404, quánh 20cm/ chiên 22cm/chiên 28cm, xanh dương",CW,492.0,0.0017465095274451403,0.9352429542816632,C,12,0.0005770895450610753,0.9509473886698092,70.28571428571429,185.95852072053978,2.6457513110645903,1,0,Z,CZ,Z,CZ,0,7.393776000000001,1,108,0.015028,3.0,3.0
4200008116,Quạt treo ASIAvina  - VY357290 - Chuối non,Fan,430.0,0.0015264209284581512,0.938324194667481,C,7,0.0003366355679522939,0.9693180725209197,61.42857142857143,92.92803154925346,1.5127819089413355,5,0,Z,CZ,Z,CZ,0,13.1415525,4,192,0.03056175,3.8,15.2
4200009238,,,300.0,0.0010649448338080124,0.9490180157069698,C,1,4.8090795421756275e-05,0.999855727613733,42.857142857142854,113.38934190276817,2.6457513110645907,1,0,Z,CZ,Z,CZ,0,11.250000000000002,,,,,
4200009024,Quạt Treo ASIAVINAVY377292 - XANH CHUỐI NON,Fan,267.0,0.0009478009020891311,0.9540285811500365,C,20,0.0009618159084351255,0.9196883716456677,38.142857142857146,37.6050908407739,0.9859012579978175,5,0,Z,CZ,Y,CY,0,11.055135,1,40,0.041405,3.8,3.8
1830007520,"Bàn ủi hơi nước đứng Tefal IXEO Power QT2020EO - 2170W, 1.1L",SDA,229.0,0.0008129078898067828,0.957489947677922,C,18,0.000865634317591613,0.9258920842550741,32.714285714285715,86.55386431911303,2.6457513110645903,1,0,Z,CZ,Z,CZ,0,24.860240000000005,1,12,0.10856,13.0,13.0
2100136221,"Bộ 5 nồi Inox cao cấp Tefal Duetto Plus, quánh 16cm/nồi 18cm/nồi 20/nồi 22cm/nồi 24cm",CW,210.0,0.0007454613836656087,0.9589986195258167,C,15,0.0007213619313263442,0.9381552370876219,30.0,78.93246058076065,2.631082019358688,2,0,Z,CZ,Z,CZ,0,11.254320000000002,1,36,0.053592,10.0,10.0
2100121732,Dao gọt trái cây Tefal Comfort  K2213504 - 9cm,CW,198.52083333333334,0.0007047124528719827,0.961142190776367,C,21,0.0010099067038568817,0.9108877560834862,28.360119047619047,65.29376582534326,2.3023092997497465,4,0,Z,CZ,Z,CZ,0,0.6701625,48,1872,0.0009056250000000001,0.125,6.0
7211419765,Nồi chiên không dầu Tefal Window white  EY8211Y0 - 6L - Điện tử,SDA,177.0,0.0006283174519467273,0.963108788902799,C,3,0.00014427238626526882,0.9906222948927565,25.285714285714285,66.89971172263321,2.6457513110645903,1,0,Z,CZ,Z,CZ,0,12.1068,1,24,0.0684,7.0,7.0
