sku_code,carton,loose,pallet,total_orders,pallet_share,carton_share,loose_share,avg_qty_per_order,baseline_pick_time_sec,pcs_per_carton,pcs_per_pallet,cbm_incl_flap_m3,pcs_weight_kg,carton_weight_kg,ergonomic_penalty,abc_quantity,xyz_frequency,order_frequency,quantity,size_score_norm
2100110229,0,3,0,3,0.0,0.0,1.0,0.8333333333333334,6.0,4,252,0.006622,1.0,4.0,0,C,Z,3,2.5,0.5100270533075316
2100110230,0,2,0,2,0.0,0.0,1.0,1.625,6.0,4,196,0.0077625,1.0,4.0,0,C,Z,2,3.25,0.5978684689368339
2100110231,1,0,0,1,0.0,1.0,0.0,6.0,12.0,4,196,0.008832000000000001,1.0,4.0,0,C,Z,1,6.0,0.6802414579903533
2100110589,0,2,0,2,0.0,0.0,1.0,0.75,6.0,4,84,0.014835,3.0,12.0,0,C,Z,2,1.5,1.1425930739681713
2100111897,1,4,0,5,0.0,0.2,0.8,4.633333333333334,7.200000000000001,6,270,0.00777,1.0,6.0,0,C,Z,5,23.166666666666668,0.5984461196314589
2100111898,0,2,0,2,0.0,0.0,1.0,2.5,6.0,6,210,0.00837,0.9166666666666666,5.5,0,C,Z,2,5.0,0.6446581752014557
2100111899,1,0,0,1,0.0,1.0,0.0,4.5,12.0,4,168,0.010368,1.075,4.3,0,C,Z,1,4.5,0.7985443202495451
2100111903,0,35,0,35,0.0,0.0,1.0,1.2523809523809524,6.0,6,540,0.003765,0.5,3.0,0,C,Y,35,43.833333333333336,0.28998064870173007
2100111904,0,14,0,14,0.0,0.0,1.0,1.2261904761904763,6.0,6,420,0.004851,0.6666666666666666,4.0,0,C,Z,14,17.166666666666668,0.3736244692834243
2100111905,0,19,0,19,0.0,0.0,1.0,1.2719298245614035,6.0,6,252,0.00667,0.8333333333333334,5.0,0,C,Z,19,24.166666666666668,0.5137240177531313
2100112224,0,17,0,17,0.0,0.0,1.0,1.0,6.0,6,168,0.00874,,,1,C,Z,17,17.0,0.6731556094696203
2100112225,0,23,0,23,0.0,0.0,1.0,1.0942028985507246,6.0,6,210,0.008499166666666667,1.233333333333333,7.4,0,C,Z,23,25.166666666666668,0.6546066038311078
2100112226,5,25,0,30,0.0,0.16666666666666666,0.8333333333333334,1.95,7.0,4,168,0.011662,1.4,5.6,0,C,Y,30,58.5,0.8982083200955049
2100112228,0,1,0,1,0.0,0.0,1.0,0.6666666666666666,6.0,6,240,0.005833333333333334,1.0,6.0,0,C,Z,1,0.6666666666666666,0.44928387359719135
2100112229,8,37,0,45,0.0,0.17777777777777778,0.8222222222222222,3.6296296296296293,7.066666666666666,6,210,0.009163000000000001,1.0,6.0,0,C,Y,45,163.33333333333331,0.7057351086464682
2100112230,1,22,0,23,0.0,0.043478260869565216,0.9565217391304348,1.423913043478261,6.260869565217392,4,144,0.0114075,1.5,6.0,0,C,Z,23,32.75,0.8786067065245645
2100112231,4,7,0,11,0.0,0.36363636363636365,0.6363636363636364,1.8636363636363635,8.181818181818182,2,100,0.01731375,1.0,2.0,0,C,Z,11,20.5,1.3335066285417208
2100112281,1,2,0,3,0.0,0.3333333333333333,0.6666666666666666,2.4166666666666665,8.0,4,224,0.004669,0.868,3.472,0,C,Z,3,7.25,0.35960681242719195
2100112288,1,49,0,50,0.0,0.02,0.98,2.3866666666666667,6.12,6,180,0.009720000000000001,1.377,8.262,0,C,Y,50,119.33333333333333,0.7486353002339486
2100112289,5,38,0,43,0.0,0.11627906976744186,0.8837209302325582,3.2751937984496124,6.6976744186046515,6,180,0.00729,1.046833333333333,6.281,0,C,Y,43,140.83333333333334,0.5614764751754614
2100112290,2,1,0,3,0.0,0.6666666666666666,0.3333333333333333,18.11111111111111,10.0,6,180,0.009720000000000001,1.402,8.412,0,C,Z,3,54.333333333333336,0.7486353002339486
2100112291,2,80,0,82,0.0,0.024390243902439025,0.975609756097561,2.3495934959349594,6.146341463414634,6,180,0.009720000000000001,1.402,8.412,0,C,Y,82,192.66666666666666,0.7486353002339486
2100112292,2,12,0,14,0.0,0.14285714285714285,0.8571428571428571,2.8214285714285716,6.857142857142857,6,180,0.009720000000000001,1.535,9.21,0,C,Z,14,39.5,0.7486353002339486
2100113152,0,2,0,2,0.0,0.0,1.0,1.0,6.0,2,90,0.018792,3.0,6.0,0,C,Z,2,2.0,1.4473615804523003
2100113153,0,1,0,1,0.0,0.0,1.0,1.0,6.0,4,168,0.010752,1.8,7.2,0,C,Z,1,1.0,0.828120035814343
2100113162,2,0,0,2,0.0,1.0,0.0,1.0,12.0,1,48,0.036176,6.0,6.0,1,C,Z,2,2.0,2.786278870500342
2100113186,3,0,0,3,0.0,1.0,0.0,4.0,12.0,2,80,0.0221375,3.0,6.0,0,C,Z,3,12.0,1.7050323003013412
2100113187,3,2,0,5,0.0,0.6,0.4,2.2,9.6,2,54,0.03059,4.0,8.0,1,C,Z,5,11.0,2.356044633143671
