sku_code,abc_class,xyz_class,zone_assignment,travel_contribution,rank_in_zone
2100110589,C,Z,Reserve / Bulk Zone,2,326
1830008904,C,Z,Reserve / Bulk Zone,2,327
2100121738,C,Z,Reserve / Bulk Zone,2,328
2100124408,C,Z,Reserve / Bulk Zone,2,329
2100121739,C,Z,Reserve / Bulk Zone,2,330
2100137895,C,Z,Reserve / Bulk Zone,2,331
2100091939,C,Z,Reserve / Bulk Zone,2,332
4200009238,C,Z,Reserve / Bulk Zone,1,333
4200006855,C,Z,Reserve / Bulk Zone,1,334
2100127807,C,Z,Reserve / Bulk Zone,1,335
4200000309,C,Z,Reserve / Bulk Zone,1,336
4200000030,C,Z,Reserve / Bulk Zone,1,337
1830008265,C,Z,Reserve / Bulk Zone,1,338
4200007356,C,Z,Reserve / Bulk Zone,1,339
2100110231,C,Z,Reserve / Bulk Zone,1,340
4200007832,C,Z,Reserve / Bulk Zone,1,341
2100122009,C,Z,Reserve / Bulk Zone,1,342
2100111899,C,Z,Reserve / Bulk Zone,1,343
3110600773,C,Z,Reserve / Bulk Zone,1,344
7115900930,C,Z,Reserve / Bulk Zone,1,345
1510001937,C,Z,Reserve / Bulk Zone,1,346
1830007763,C,Z,Reserve / Bulk Zone,1,347
7211004052,C,Z,Reserve / Bulk Zone,1,348
7115900934,C,Z,Reserve / Bulk Zone,1,349
7211004194,C,Z,Reserve / Bulk Zone,1,350
7211004195,C,Z,Reserve / Bulk Zone,1,351
7115900876,C,Z,Reserve / Bulk Zone,1,352
2100121759,C,Z,Reserve / Bulk Zone,1,353
2100119195,C,Z,Reserve / Bulk Zone,1,354
1510002423,C,Z,Reserve / Bulk Zone,1,355
7211004120,C,Z,Reserve / Bulk Zone,1,356
2100130060,C,Z,Reserve / Bulk Zone,1,357
2100118202,C,Z,Reserve / Bulk Zone,1,358
3110600775,C,Z,Reserve / Bulk Zone,1,359
1510002075,C,Z,Reserve / Bulk Zone,1,360
2211401176,C,Z,Reserve / Bulk Zone,1,361
2211401312,C,Z,Reserve / Bulk Zone,1,362
1510001954,C,Z,Reserve / Bulk Zone,1,363
3110600774,C,Z,Reserve / Bulk Zone,1,364
4200000013,C,Z,Reserve / Bulk Zone,1,365
4200008241,C,Z,Reserve / Bulk Zone,1,366
4200000016,C,Z,Reserve / Bulk Zone,1,367
2211400867,C,Z,Reserve / Bulk Zone,1,368
4200005352,C,Z,Reserve / Bulk Zone,1,369
2100131824,C,Z,Reserve / Bulk Zone,1,370
4200007335,C,Z,Reserve / Bulk Zone,1,371
4200000223,C,Z,Reserve / Bulk Zone,1,372
7115900031,C,Z,Reserve / Bulk Zone,1,373
2100124946,C,Z,Reserve / Bulk Zone,1,374
2100122015,C,Z,Reserve / Bulk Zone,1,375
7115900951,C,Z,Reserve / Bulk Zone,1,376
7211005118,C,Z,Reserve / Bulk Zone,1,377
2100136645,C,Z,Reserve / Bulk Zone,1,378
1830004028,C,Z,Reserve / Bulk Zone,1,379
2100125870,C,Z,Reserve / Bulk Zone,1,380
7211004987,C,Z,Reserve / Bulk Zone,1,381
2100126397,C,Z,Reserve / Bulk Zone,1,382
2100134583,C,Z,Reserve / Bulk Zone,1,383
7115900704,C,Z,Reserve / Bulk Zone,1,384
1510002076,C,Z,Reserve / Bulk Zone,1,385
2100113153,C,Z,Reserve / Bulk Zone,1,386
8000035866,C,Z,Reserve / Bulk Zone,1,387
1830008419,C,Z,Reserve / Bulk Zone,1,388
1830008984,C,Z,Reserve / Bulk Zone,1,389
1830009469,C,Z,Reserve / Bulk Zone,1,390
2027453120,C,Z,Reserve / Bulk Zone,1,391
2100089647,C,Z,Reserve / Bulk Zone,1,392
7115900927,C,Z,Reserve / Bulk Zone,1,393
2100088986,C,Z,Reserve / Bulk Zone,1,394
7115900922,C,Z,Reserve / Bulk Zone,1,395
2100107627,C,Z,Reserve / Bulk Zone,1,396
2100114153,C,Z,Reserve / Bulk Zone,1,397
1830009340,C,Z,Reserve / Bulk Zone,1,398
2100112228,C,Z,Reserve / Bulk Zone,1,399
2100131820,C,Z,Reserve / Bulk Zone,1,400
2100127489,C,Z,Reserve / Bulk Zone,1,401
2100104350,C,Z,Reserve / Bulk Zone,1,402
1830009282,C,Z,Reserve / Bulk Zone,1,403
