sku_code,sap_code,sap_code_2,updated_date,sku_row_no,type,com_code,product_name,unit,category,pcs_per_carton,carton_length_mm,carton_width_mm,carton_height_mm,pcs_per_pallet,cartons_per_layer,layers_per_pallet,loose_pcs_per_pallet,volume_m3,carton_volume_from_dims_m3,cbm_incl_flap_m3,pcs_weight_kg,carton_weight_kg,pallet_base_pcs_capacity,weight_conflict_flag,imputation_notes
7115900843,,7115900843,,80,CW,H18203-T24C,Nồi chống dính  Affinity IH H18203-T24C 24 cm,CÁI,CW,4,530,390,265,120,,,0,,0.0547755,0.013693875,1.8,7.2,,0,
7116900004,,7116900004,,81,CW,TW08001,Bộ nồi canh hợp kim nhôm oxy hóa mềm Healthy 6 món TW08001,BỘ,CW,8,605,525,505,96,,,0,,0.160400625,0.020050078125,2.738,21.9,,1,
7116900005,,7116900005,,82,CW,T0305,Bộ nồi chống dính Bobo T0305 - đen,BỘ,CW,15,685,260,435,360,,,0,,0.0774735,0.0051649,0.7333333333333333,11.0,,0,
7116900006,,7116900006,,83,CW,T0305,Bộ nồi chống dính Bobo T0305 - xanh lá,BỘ,CW,15,685,260,435,360,6,4,0,,0.0774735,0.0051649,0.7333333333333333,11.0,360,0,
7116900007,,7116900007,,84,CW,T0305,Bộ nồi chống dính Bobo T0305 - vàng,BỘ,CW,15,685,260,435,360,6,4,0,,0.0774735,0.0051649,0.7333333333333333,11.0,360,0,
4100000010,,4100000010,,85,Fan,VU3510Y0,Quạt bàn Tefal - VU3510Y0 - đen,CÁI,Fan,1,450,215,460,12,3,4,0,,0.044505,0.044505,4.8,4.8,12,0,
4100000113,,4100000113,,86,Fan,VF3640F0,Quạt đứng Tefal - VF3640F0 - nâu,CÁI,Fan,1,590,215,460,31,9,3,4,,0.058351,0.05835100000000001,5.3,5.3,27,0,
4100000127,,4100000127,,87,Fan,VF4110G0,Quạt đứng Tefal Essential - VF4110G0 - Đen,CÁI,Fan,1,565,215,460,31,9,3,4,,0.0558785,0.0558785,,,27,0,
4100000128,,4100000128,,88,Fan,VF4110F0,Quạt đứng Tefal Essential - VF4110F0 - Đen,CÁI,Fan,1,565,220,460,31,9,3,4,,0.057178,0.05717800000000001,8.5,8.5,27,0,
4100000258,,4100000258,,89,Fan,VU4110F0,Quạt đứng - Rowenta - VU4110F0 - đen(KSD),CÁI,Fan,1,540,220,470,31,9,3,4,,0.055836,0.055836,,,27,0,
4100000259,,4100000259,,90,Fan,VF3410T0,Quạt bàn Tefal - VF3410T0 - xám,CÁI,Fan,1,520,200,460,40,,,0,,0.04784,0.04784,,,,0,
4100000261,,4100000261,,91,Fan,VF3430T0,Quạt treo Tefal - VF3430T0 - xám,CÁI,Fan,1,473,220,460,34,10,3,4,,0.0478676,0.0478676,,,30,0,
4100000263,,4100000263,,92,Fan,VF3450T0,Quạt bàn 18 Tefal - VF3450T0 - xám,CÁI,Fan,1,650,210,520,20,,,0,,0.07098,0.07098,,,,0,
4100000281,,4100000281,,93,Fan,VF3411T0,Quạt bàn Tefal - VF3411T0 - lá mạ (KSD),CÁI,Fan,1,520,200,460,40,,,0,,0.04784,0.04784,,,,0,
4100000283,,4100000283,,94,Fan,VF3421T0,Quạt lửng Tefal - VF3421T0 - lá mạ,CÁI,Fan,1,770,205,460,24,,,0,,0.072611,0.07261100000000001,,,,0,
4100000290,,4100000290,,95,Fan,VF3451T0,Quạt bàn 18 Tefal - VF3451T0 - Lá mạ,CÁI,Fan,1,385,160,320,80,,,0,,0.019712,0.019712,,,,0,
4100000368,,4100000368,,96,Fan,VU2110F0,Quạt bàn - Rowenta - VU2110F0 - Nâu,CÁI,Fan,1,385,160,320,80,16,5,0,,0.019712,0.019712,,,80,0,
4100000412,,4100000412,,97,Fan,VU2120F0,Quạt bàn - Rowenta - VU2120F0 - Nâu,CÁI,Fan,1,445,192,360,58,13,4,6,,0.0307584,0.0307584,,,52,0,
4100000414,,4100000414,,98,Fan,VF2250F0,Quạt đứng Tefal - VF2250F0 - đen,CÁI,Fan,1,570,220,550,27,9,3,0,,0.06897,0.06897,8.15,8.15,27,0,
4100000420,,4100000420,,99,Fan,VF2250T0,Quạt đứng Tefal - VF2250T0 - đen,CÁI,Fan,1,570,220,550,27,9,3,0,,0.06897,0.06897,8.0,8.0,27,0,
4100000457,,4100000457,,100,Fan,VU4210F0,Quạt đứng - Rowenta - VU4210F0 - trắng(KSD),CÁI,Fan,1,535,232,460,31,9,3,4,,0.0570952,0.05709520000000001,,,27,0,
4100000458,,4100000458,,101,Fan,VF4210F0,Quạt đứng - Tefal - VF4210F0 - trắng,CÁI,Fan,1,540,230,460,31,9,3,4,,0.057132,0.057132,7.0,7.0,27,0,
4100000461,,4100000461,,102,Fan,VF2250B0,Quạt đứng ARNO - VF2250B0 - đen,CÁI,Fan,1,570,220,550,27,9,3,0,,0.06897,0.06897,8.15,8.15,27,0,
4100000489,,4100000489,,103,Fan,VF2255A0,Quạt đứng Moulinex - VF2255A0 - đen,CÁI,Fan,1,550,220,555,27,9,3,0,,0.067155,0.067155,,,27,0,
4100000492,4100000492,4100000492,2020-05-22,104,Fan,VF2220I0,Quạt treo SAMURAI -VF2220I0 - đen,CÁI,Fan,1,560,170,560,28,11,2,6,,0.053312,0.05331200000000001,6.0,6.0,22,0,
4100000493,4100000493,4100000493,2020-05-22,105,Fan,VF2230I0,Quạt treo CN SAMURAI - VF2230I0 - đen,CÁI,Fan,1,690,195,690,17,8,2,1,,0.0928395,0.0928395,13.0,13.0,16,0,
4100000494,4100000494,4100000494,2020-05-22,106,Fan,VF2253I0,Quạt đứng SAMURAI - VF2253I0 - đen,CÁI,Fan,1,550,220,560,27,9,3,0,,0.06776,0.06776,6.0,6.0,27,0,
4100000495,4100000495,4100000495,2020-05-22,107,Fan,VF2260I0,Quạt đứng CN SAMURAI - VF2260I0 - đen,CÁI,Fan,1,690,195,690,13,6,2,1,,0.0928395,0.0928395,19.0,19.0,12,0,
4100000501,4100000501,4100000501,2020-05-22,108,Fan,VU1930F0,Quạt bàn - ROWENTA VU1930F0 - nâu,CÁI,Fan,1,440,210,370,40,10,4,0,,0.034188,0.034188,,,40,0,
4100000502,4100000502,4100000502,2020-05-22,109,Fan,VU1950F0,Quạt lửng ROWENTA - VU1950F0 - nâu,CÁI,Fan,1,395,395,410,24,6,4,0,,0.06397025,0.06397025,4.1,4.1,24,0,
4100000572,4100000572,4100000572,2020-05-22,110,Fan,VF2220B0,Quạt treo ARNO - VF2220B0 - xám,CÁI,Fan,1,560,170,570,28,11,2,6,,0.054264,0.05426400000000001,6.0,6.0,22,0,
4100000577,4100000577,4100000577,2020-05-22,111,Fan,VU6410F0,Quạt đứng Rowenta - VU6410F0 - trắng,CÁI,Fan,1,590,215,460,31,9,3,4,,0.058351,0.05835100000000001,10.5,10.5,27,0,
4100000578,4100000578,4100000578,2020-05-22,112,Fan,VF6410F0,Quạt đứng TEFAL - VF6410F0 - trắng,CÁI,Fan,1,590,215,460,31,9,3,4,,0.058351,0.05835100000000001,10.5,10.5,27,0,
4100000582,4100000582,4100000582,2020-05-22,113,Fan,VF2253I1,Quạt đứng SAMURAI -VF2253I1 - đen,CÁI,Fan,1,550,230,560,27,,,0,,0.07084,0.07084,,,,0,
4100000584,4100000584,4100000584,2020-05-22,114,Fan,VF2254I0,Quạt đứng IMUSA - VF2254I0 - đen,CÁI,Fan,1,550,220,560,27,9,3,0,,0.06776,0.06776,,,27,0,
